clip_id,session_id,person_id,start_time,end_time,label,audio_file
debug_cough_001,session_debug_cough_001,P_DEBUG_001,0.000000,9.780000,cough,data/raw/audio_debug/cough_000001.wav
debug_cough_002,session_debug_cough_002,P_DEBUG_002,0.000000,4.500000,cough,data/raw/audio_debug/cough_000002.wav
debug_cough_003,session_debug_cough_003,P_DEBUG_003,0.000000,9.840000,cough,data/raw/audio_debug/cough_000003.wav
debug_cough_004,session_debug_cough_004,P_DEBUG_004,0.000000,7.260000,cough,data/raw/audio_debug/cough_000004.wav
debug_cough_005,session_debug_cough_005,P_DEBUG_005,0.000000,9.780000,cough,data/raw/audio_debug/cough_000005.wav
debug_cough_006,session_debug_cough_006,P_DEBUG_006,0.000000,9.840000,cough,data/raw/audio_debug/cough_000006.wav
debug_non_cough_001,session_debug_non_cough_001,P_DEBUG_007,0.000000,18.553062,non_cough,data/raw/audio_debug/non_cough_100.wav
debug_non_cough_002,session_debug_non_cough_002,P_DEBUG_008,0.000000,8.247438,non_cough,data/raw/audio_debug/non_cough_100011.wav
debug_non_cough_003,session_debug_non_cough_003,P_DEBUG_009,0.000000,9.422937,non_cough,data/raw/audio_debug/non_cough_100017.wav
debug_non_cough_004,session_debug_non_cough_004,P_DEBUG_010,0.000000,18.170313,non_cough,data/raw/audio_debug/non_cough_100018.wav
debug_non_cough_005,session_debug_non_cough_005,P_DEBUG_011,0.000000,7.450000,non_cough,data/raw/audio_debug/non_cough_100036.wav
debug_non_cough_006,session_debug_non_cough_006,P_DEBUG_012,0.000000,5.000000,non_cough,data/raw/audio_debug/non_cough_100039.wav
