clip_id,session_id,person_id,start_time,end_time,label,audio_file,split,hard_negative,change_reason
clip_cough_0001,session_cough_0001,P_FORMAL_001,0.0,9.78,cough,data/formal_audio_50/cough_0001.wav,train,False,unchanged
clip_cough_0002,session_cough_0002,P_FORMAL_002,0.0,4.5,cough,data/formal_audio_50/cough_0002.wav,train,False,unchanged
clip_cough_0003,session_cough_0003,P_FORMAL_003,0.0,9.84,cough,data/formal_audio_50/cough_0003.wav,train,False,unchanged
clip_cough_0004,session_cough_0004,P_FORMAL_004,0.0,7.26,cough,data/formal_audio_50/cough_0004.wav,train,False,unchanged
clip_cough_0005,session_cough_0005,P_FORMAL_005,0.0,9.78,cough,data/formal_audio_50/cough_0005.wav,train,False,unchanged
clip_cough_0006,session_cough_0006,P_FORMAL_006,0.0,9.84,cough,data/formal_audio_50/cough_0006.wav,train,False,unchanged
clip_cough_0007,session_cough_0007,P_FORMAL_007,0.0,9.84,cough,data/formal_audio_50/cough_0007.wav,train,False,unchanged
clip_cough_0008,session_cough_0008,P_FORMAL_008,0.0,7.5,cough,data/formal_audio_50/cough_0008.wav,train,False,unchanged
clip_cough_0009,session_cough_0009,P_FORMAL_009,0.0,9.9,cough,data/formal_audio_50/cough_0009.wav,train,False,unchanged
clip_cough_0010,session_cough_0010,P_FORMAL_010,0.0,1.44,cough,data/formal_audio_50/cough_0010.wav,train,False,unchanged
clip_cough_0011,session_cough_0011,P_FORMAL_011,0.0,9.9,cough,data/formal_audio_50/cough_0011.wav,train,False,unchanged
clip_cough_0012,session_cough_0012,P_FORMAL_012,0.0,4.26,cough,data/formal_audio_50/cough_0012.wav,train,False,unchanged
clip_cough_0013,session_cough_0013,P_FORMAL_013,0.0,9.96,cough,data/formal_audio_50/cough_0013.wav,train,False,unchanged
clip_cough_0014,session_cough_0014,P_FORMAL_014,0.0,9.78,cough,data/formal_audio_50/cough_0014.wav,train,False,unchanged
clip_cough_0015,session_cough_0015,P_FORMAL_015,0.0,9.6,cough,data/formal_audio_50/cough_0015.wav,train,False,unchanged
clip_cough_0016,session_cough_0016,P_FORMAL_016,0.0,9.96,cough,data/formal_audio_50/cough_0016.wav,train,False,unchanged
clip_cough_0017,session_cough_0017,P_FORMAL_017,0.0,9.84,cough,data/formal_audio_50/cough_0017.wav,train,False,unchanged
clip_cough_0018,session_cough_0018,P_FORMAL_018,0.0,9.9,cough,data/formal_audio_50/cough_0018.wav,train,False,unchanged
clip_cough_0019,session_cough_0019,P_FORMAL_019,0.0,9.984,cough,data/formal_audio_50/cough_0019.wav,val,False,unchanged
clip_cough_0020,session_cough_0020,P_FORMAL_020,0.0,7.92,cough,data/formal_audio_50/cough_0020.wav,val,False,unchanged
clip_cough_0021,session_cough_0021,P_FORMAL_021,0.0,5.370687,cough,data/formal_audio_50/cough_0021.wav,val,False,unchanged
clip_cough_0022,session_cough_0022,P_FORMAL_022,0.0,9.66,cough,data/formal_audio_50/cough_0022.wav,val,False,unchanged
clip_cough_0023,session_cough_0023,P_FORMAL_023,0.0,6.48,cough,data/formal_audio_50/cough_0023.wav,test,False,unchanged
clip_cough_0024_v2_01,session_cough_0024,P_FORMAL_024,0.000000,1.000000,cough,data/formal_audio_50/cough_0024.wav,test,False,unchanged_after_manual_review_split
clip_cough_0024_v2_02,session_cough_0024,P_FORMAL_024,1.000000,2.000000,non_cough,data/formal_audio_50/cough_0024.wav,test,False,manual_review_relabel_to_non_cough source=data/formal_audio_50/cough_0024.wav interval=1.000-2.000s label=cough->non_cough cough_prob=0.390711
clip_cough_0024_v2_03,session_cough_0024,P_FORMAL_024,2.000000,3.000000,non_cough,data/formal_audio_50/cough_0024.wav,test,False,manual_review_relabel_to_non_cough source=data/formal_audio_50/cough_0024.wav interval=2.000-3.000s label=cough->non_cough cough_prob=0.392354
clip_cough_0024_v2_04,session_cough_0024,P_FORMAL_024,3.000000,5.160000,cough,data/formal_audio_50/cough_0024.wav,test,False,unchanged_after_manual_review_split
clip_cough_0025,session_cough_0025,P_FORMAL_025,0.0,9.78,cough,data/formal_audio_50/cough_0025.wav,test,False,unchanged
clip_non_cough_0001,session_non_cough_0001,P_FORMAL_026,0.0,18.553062,non_cough,data/formal_audio_50/non_cough_0001.wav,train,False,unchanged
