clip_id,session_id,person_id,start_time,end_time,label,audio_file,split,hard_negative,sample_weight,source,source_domain,change_reason,hard_negative_source,negative_type,mining_role,row_origin,original_path,source_audio,canonical_audio_path,source_start_time,source_end_time,window_start_sec,window_end_sec,manual_decision,manual_subtype_raw,manual_subtype_norm,review_bucket,v3_cough_prob,yamnet_top1,yamnet_cough_score,yamnet_speech_score,yamnet_throat_like_score,candidate_id,clip_path,review_clip_is_training_source,canonical_training_window,notes,review_batch,review_id,review_file,derived_review_class,baseline_cough_prob,yamnet_top1_score
clip_cough_0001,session_cough_0001,P_FORMAL_001,0.0,9.78,cough,data/formal_audio_50/cough_0001.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.78,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0002,session_cough_0002,P_FORMAL_002,0.0,4.5,cough,data/formal_audio_50/cough_0002.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,4.5,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0003,session_cough_0003,P_FORMAL_003,0.0,9.84,cough,data/formal_audio_50/cough_0003.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.84,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0004,session_cough_0004,P_FORMAL_004,0.0,7.26,cough,data/formal_audio_50/cough_0004.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,7.26,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0005,session_cough_0005,P_FORMAL_005,0.0,9.78,cough,data/formal_audio_50/cough_0005.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.78,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0006,session_cough_0006,P_FORMAL_006,0.0,9.84,cough,data/formal_audio_50/cough_0006.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.84,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0007,session_cough_0007,P_FORMAL_007,0.0,9.84,cough,data/formal_audio_50/cough_0007.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.84,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0008,session_cough_0008,P_FORMAL_008,0.0,7.5,cough,data/formal_audio_50/cough_0008.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,7.5,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0009,session_cough_0009,P_FORMAL_009,0.0,9.9,cough,data/formal_audio_50/cough_0009.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.9,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0010,session_cough_0010,P_FORMAL_010,0.0,1.44,cough,data/formal_audio_50/cough_0010.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,1.44,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0011,session_cough_0011,P_FORMAL_011,0.0,9.9,cough,data/formal_audio_50/cough_0011.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.9,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0012,session_cough_0012,P_FORMAL_012,0.0,4.26,cough,data/formal_audio_50/cough_0012.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,4.26,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0013,session_cough_0013,P_FORMAL_013,0.0,9.96,cough,data/formal_audio_50/cough_0013.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.96,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0014,session_cough_0014,P_FORMAL_014,0.0,9.78,cough,data/formal_audio_50/cough_0014.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.78,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0015,session_cough_0015,P_FORMAL_015,0.0,9.6,cough,data/formal_audio_50/cough_0015.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.6,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0016,session_cough_0016,P_FORMAL_016,0.0,9.96,cough,data/formal_audio_50/cough_0016.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.96,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0017,session_cough_0017,P_FORMAL_017,0.0,9.84,cough,data/formal_audio_50/cough_0017.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.84,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0018,session_cough_0018,P_FORMAL_018,0.0,9.9,cough,data/formal_audio_50/cough_0018.wav,train,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.9,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0019,session_cough_0019,P_FORMAL_019,0.0,9.984,cough,data/formal_audio_50/cough_0019.wav,val,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.984,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0020,session_cough_0020,P_FORMAL_020,0.0,7.92,cough,data/formal_audio_50/cough_0020.wav,val,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,7.92,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0021,session_cough_0021,P_FORMAL_021,0.0,5.370687,cough,data/formal_audio_50/cough_0021.wav,val,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,5.370687,,,,,,,,,,,,,,,,,,,,,,
clip_cough_0022,session_cough_0022,P_FORMAL_022,0.0,9.66,cough,data/formal_audio_50/cough_0022.wav,val,False,1.0,audio_labels_v3,,unchanged,,,legacy_positive,base_v3,,,,0.0,9.66,,,,,,,,,,,,,,,,,,,,,,
