"session_id","person_id","source","label","audio_file"
"session_debug_cough_001","person_debug_cough_001","DATA/cough/cough_READY/cough","cough","cough_000001.wav"
"session_debug_cough_002","person_debug_cough_002","DATA/cough/cough_READY/cough","cough","cough_000002.wav"
"session_debug_cough_003","person_debug_cough_003","DATA/cough/cough_READY/cough","cough","cough_000003.wav"
"session_debug_cough_004","person_debug_cough_004","DATA/cough/cough_READY/cough","cough","cough_000004.wav"
"session_debug_cough_005","person_debug_cough_005","DATA/cough/cough_READY/cough","cough","cough_000005.wav"
"session_debug_cough_006","person_debug_cough_006","DATA/cough/cough_READY/cough","cough","cough_000006.wav"
"session_debug_non_cough_001","person_debug_non_cough_001","DATA/non_cough/FSD50K_Negative_clean","non_cough","non_cough_100.wav"
"session_debug_non_cough_002","person_debug_non_cough_002","DATA/non_cough/FSD50K_Negative_clean","non_cough","non_cough_100011.wav"
"session_debug_non_cough_003","person_debug_non_cough_003","DATA/non_cough/FSD50K_Negative_clean","non_cough","non_cough_100017.wav"
"session_debug_non_cough_004","person_debug_non_cough_004","DATA/non_cough/FSD50K_Negative_clean","non_cough","non_cough_100018.wav"
"session_debug_non_cough_005","person_debug_non_cough_005","DATA/non_cough/FSD50K_Negative_clean","non_cough","non_cough_100036.wav"
"session_debug_non_cough_006","person_debug_non_cough_006","DATA/non_cough/FSD50K_Negative_clean","non_cough","non_cough_100039.wav"
